game,date_et,home_id,htm,away_id,vtm,home_pts,away_pts,status,periods
22501101,2026-03-31,1610612765,DET,1610612761,TOR,127,116,3,4
22501102,2026-03-31,1610612745,HOU,1610612752,NYK,111,94,3,4
22501103,2026-03-31,1610612747,LAL,1610612739,CLE,127,113,3,4
22501104,2026-03-31,1610612746,LAC,1610612757,POR,104,114,3,4
22501105,2026-04-01,1610612764,WAS,1610612755,PHI,131,153,3,4
22501106,2026-04-01,1610612748,MIA,1610612738,BOS,129,147,3,4
22501107,2026-04-01,1610612753,ORL,1610612737,ATL,101,130,3,4
22501108,2026-04-01,1610612761,TOR,1610612758,SAC,115,123,3,4
22501109,2026-04-01,1610612741,CHI,1610612754,IND,126,145,3,4
22501110,2026-04-01,1610612745,HOU,1610612749,MIL,119,113,3,4
22501111,2026-03-12,1610612763,MEM,1610612742,DAL,112,120,3,4
22501112,2026-04-01,1610612762,UTA,1610612743,DEN,117,130,3,4
22501113,2026-04-01,1610612744,GSW,1610612759,SAS,113,127,3,4
22501114,2026-04-02,1610612766,CHA,1610612756,PHX,127,107,3,4
22501115,2026-04-02,1610612765,DET,1610612750,MIN,113,108,3,4
22501116,2026-04-02,1610612760,OKC,1610612747,LAL,139,96,3,4
22501117,2026-04-02,1610612744,GSW,1610612739,CLE,111,118,3,4
22501118,2026-04-02,1610612757,POR,1610612740,NOP,118,106,3,4
22501119,2026-04-02,1610612746,LAC,1610612759,SAS,99,118,3,4
22501120,2026-04-03,1610612766,CHA,1610612754,IND,129,108,3,4
22501121,2026-04-03,1610612755,PHI,1610612750,MIN,115,103,3,4
22501122,2026-04-03,1610612751,BKN,1610612737,ATL,107,141,3,4
22501123,2026-04-03,1610612752,NYK,1610612741,CHI,136,96,3,4
22501124,2026-04-03,1610612745,HOU,1610612762,UTA,140,106,3,4
22501125,2026-04-03,1610612763,MEM,1610612761,TOR,96,128,3,4
22501126,2026-04-03,1610612749,MIL,1610612738,BOS,101,133,3,4
22501127,2026-04-03,1610612742,DAL,1610612753,ORL,127,138,3,4
22501128,2026-04-03,1610612758,SAC,1610612740,NOP,117,113,3,4
22501129,2026-04-04,1610612748,MIA,1610612764,WAS,152,136,3,4
22501130,2026-04-04,1610612743,DEN,1610612759,SAS,136,134,3,5
22501131,2026-04-04,1610612755,PHI,1610612765,DET,93,116,3,4
22501132,2026-04-05,1610612738,BOS,1610612761,TOR,115,101,3,4
22501133,2026-04-05,1610612751,BKN,1610612764,WAS,121,115,3,4
22501134,2026-04-05,1610612741,CHI,1610612756,PHX,110,120,3,4
22501135,2026-04-05,1610612749,MIL,1610612763,MEM,131,115,3,4
22501136,2026-04-05,1610612739,CLE,1610612754,IND,117,108,3,4
22501137,2026-04-05,1610612750,MIN,1610612766,CHA,108,122,3,4
22501138,2026-04-05,1610612740,NOP,1610612753,ORL,108,112,3,4
22501139,2026-04-05,1610612760,OKC,1610612762,UTA,146,111,3,4
22501140,2026-04-05,1610612742,DAL,1610612747,LAL,134,128,3,4
22501141,2026-04-05,1610612758,SAC,1610612746,LAC,109,138,3,4
22501142,2026-04-05,1610612744,GSW,1610612745,HOU,116,117,3,4
22501143,2026-04-06,1610612737,ATL,1610612752,NYK,105,108,3,4
22501144,2026-04-06,1610612753,ORL,1610612765,DET,123,107,3,4
22501145,2026-04-06,1610612763,MEM,1610612739,CLE,126,142,3,4
22501146,2026-04-06,1610612759,SAS,1610612755,PHI,115,102,3,4
