team,abbr,name,status,date,type,detail,side,return_date,comment
Atlanta Hawks,ATL,Henri Veesaar,Out,2026-09-21T19:50Z,out,,Right,2027-07-01,"Veesaar was diagnosed with a torn right ACL and is expected to miss the 2026-27 season, the Hawks announced Monday."
Atlanta Hawks,ATL,Mouhamed Gueye,Day-To-Day,2026-07-19T00:14Z,day-to-day,Fracture,Left,2026-10-15,"Gueye underwent surgery Tuesday to repair a fractured left foot that he suffered during a workout last week, Brad Rowland of the Locked On Podcast Network reports."
Atlanta Hawks,ATL,Keshon Gilbert,Day-To-Day,2026-07-18T23:19Z,day-to-day,,,2026-10-01,"Gilbert (hip) won't play in Saturday's Las Vegas Summer League game against the Wizards, Brad Rowland of the Locked On Podcast Network reports."
Atlanta Hawks,ATL,RayJ Dennis,Day-To-Day,2026-07-18T23:18Z,day-to-day,Not Specified,Right,2026-10-01,"Dennis (Achilles) has been ruled out for Saturday's Summer League game against the Wizards, Brad Rowland of the Locked On Podcast Network reports."
Brooklyn Nets,BKN,Nolan Traore,Day-To-Day,2026-06-30T13:28Z,day-to-day,Surgery,Right,2026-10-01,"Brooklyn general manager Sean Marks announced Monday that Traore underwent right knee surgery and won't play in Summer League, C.J. Holmes of the New York Daily News reports."
Charlotte Hornets,CHA,Brandon Miller,Day-To-Day,2026-08-25T15:58Z,day-to-day,Surgery,Left,2026-10-01,Miller (shoulder) provided an update on his rehab after surgery in comments to Roderick Boone of The Charlotte Observer on Tuesday.
Charlotte Hornets,CHA,PJ Hall,Day-To-Day,2026-06-16T14:32Z,day-to-day,Surgery,Right,2026-10-01,The Hornets announced Thursday that Hall underwent a procedure to address a fractured right ankle and will miss the remainder of the 2025-26 campaign.
Chicago Bulls,CHI,Dailyn Swain,Day-To-Day,2026-07-17T21:31Z,day-to-day,,,2026-10-01,"Swain is out for Friday's Summer League game against the Cavaliers due to right wrist soreness, per K.C. Johnson of Chicago Sports Network."
Chicago Bulls,CHI,Zach Collins,Day-To-Day,2026-07-01T02:31Z,day-to-day,Surgery,Right,2026-10-01,"Collins (toe) agreed to a two-year, $17 million extension with Chicago on Tuesday, Shams Charania of ESPN reports."
Chicago Bulls,CHI,Josh Giddey,Day-To-Day,2026-06-24T18:04Z,day-to-day,Not Specified,Right,2026-10-01,Giddey (ankle) could benefit from the selections of Caleb Wilson and Dailyn Swain as well as Chicago's acquisition of Nic Claxton (finger) in 2026-27.
Chicago Bulls,CHI,Rob Dillingham,Day-To-Day,2026-06-16T14:30Z,day-to-day,Surgery,Right,2026-10-01,"Dillingham recently underwent successful minor surgery to have a ganglion cyst removed from his right wrist, the Bulls announced Wednesday."
Dallas Mavericks,DAL,Kyrie Irving,Day-To-Day,2026-09-25T15:38Z,day-to-day,,Left,2026-10-09,"Mavericks president Masai Ujiri offered an encouraging update on Irving's recovery Friday, saying the veteran guard is ""right there"" as he works toward returning to game action, Mike Curtis of The Dallas Morning News reports."
Dallas Mavericks,DAL,Dereck Lively II,Day-To-Day,2026-09-25T15:34Z,day-to-day,Surgery,Right,2026-10-09,"Mavericks president Masai Ujiri said Friday that Lively (foot) is ""making good progress"" in his recovery, Mike Curtis of The Dallas Morning News reports."
Dallas Mavericks,DAL,Santi Aldama,Day-To-Day,2026-08-19T17:24Z,day-to-day,Surgery,Right,2026-10-01,"Aldama (knee) is expected to be ready in time for training camp, according to NBA reporter Marc Stein."
Denver Nuggets,DEN,Trevon Brazile,Day-To-Day,2026-07-19T22:41Z,day-to-day,,,2026-10-01,"Brazile is out for Sunday's Summer League finale for undisclosed reasons, Ryan Blackburn of MileHighSports.com reports."
Golden State Warriors,GS,Jimmy Butler III,Out,2026-08-24T15:23Z,out,Surgery,Right,2026-12-01,"Butler (knee) is still in the relatively early stages of his recovery and has only recently begun getting back on the court, according to Danny Emerman of SFStandard.com."
Golden State Warriors,GS,Moses Moody,Out,2026-03-24T20:48Z,out,Surgery,Left,2026-12-01,"Moody has been diagnosed with a torn patellar tendon in his left knee, Shams Charania of ESPN reports."
Houston Rockets,HOU,Steven Adams,Day-To-Day,2026-09-23T19:30Z,day-to-day,Surgery,Left,2026-10-01,"Adams (ankle) didn't offer a return timetable Monday at media day, per Varun Shankar of the Houston Chronicle."
Indiana Pacers,IND,Johnny Furphy,Out,2026-02-09T21:43Z,out,Surgery,Right,2027-01-01,"Furphy was diagnosed with a torn right ACL on Monday and will miss the remainder of the season, Michael Scotto of USA Today reports."
LA Clippers,LAC,Brandon Ingram,Day-To-Day,2026-09-23T17:45Z,day-to-day,Surgery,Right,2026-10-01,"Ingram had surgery on his foot/heel during the offseason, ESPN's Brian Windhorst reported Tuesday."
LA Clippers,LAC,Jordan Miller,Out,2026-08-26T20:04Z,out,Surgery,,2027-03-01,"Miller underwent surgery Wednesday to repair a torn left rotator cuff and will be re-evaluated in six months, per Law Murray of The Athletic."
LA Clippers,LAC,Bradley Beal,Day-To-Day,2026-08-14T00:02Z,day-to-day,Surgery,Left,2026-10-01,"Beal (hip) agreed to a two-year, $13.2 million contract with Los Angeles on Thursday, Shams Charania of ESPN reports."
