season,src,opener,timestamp,original,statuscode,length
2015,realgm,2015-10-27,20150905093340,http://basketball.realgm.com/nba/depth-charts,200,27611
2015,realgm,2015-10-27,20150926050631,http://basketball.realgm.com:80/nba/depth-charts,200,28469
2015,realgm,2015-10-27,20151015183220,http://basketball.realgm.com/nba/depth-charts,200,28938
2015,realgm,2015-10-27,20151021021637,http://basketball.realgm.com:80/nba/depth-charts,200,28668
2015,realgm,2015-10-27,20151022202017,http://basketball.realgm.com/nba/depth-charts,200,34678
2015,realgm,2015-10-27,20151029204253,http://basketball.realgm.com/nba/depth-charts,200,31156
2015,realgm,2015-10-27,20151030023111,http://basketball.realgm.com:80/nba/depth-charts,200,30965
2016,realgm,2016-10-25,20160826004806,http://basketball.realgm.com/nba/depth-charts,200,28459
2016,realgm,2016-10-25,20160831190059,http://basketball.realgm.com:80/nba/depth-charts,200,28398
2016,realgm,2016-10-25,20160902013518,http://basketball.realgm.com/nba/depth-charts,200,28496
2016,realgm,2016-10-25,20160909022735,http://basketball.realgm.com/nba/depth-charts,200,28627
2016,realgm,2016-10-25,20160916025348,http://basketball.realgm.com/nba/depth-charts,200,29067
2016,realgm,2016-10-25,20160917075733,http://basketball.realgm.com:80/nba/depth-charts,200,29086
2016,realgm,2016-10-25,20160923045720,http://basketball.realgm.com/nba/depth-charts,200,29376
2016,realgm,2016-10-25,20160928235518,http://basketball.realgm.com:80/nba/depth-charts,200,29753
2016,realgm,2016-10-25,20160930051342,http://basketball.realgm.com/nba/depth-charts,200,29916
2016,realgm,2016-10-25,20161007054240,http://basketball.realgm.com/nba/depth-charts,200,31259
2016,realgm,2016-10-25,20161008130711,http://basketball.realgm.com:80/nba/depth-charts,200,31185
2016,realgm,2016-10-25,20161014061357,http://basketball.realgm.com/nba/depth-charts,200,32250
2016,realgm,2016-10-25,20161014125319,http://basketball.realgm.com/nba/depth-charts,200,32250
2016,realgm,2016-10-25,20161017035137,http://basketball.realgm.com:80/nba/depth-charts,200,34184
2016,realgm,2016-10-25,20161024023340,http://basketball.realgm.com:80/nba/depth-charts,200,34001
2016,realgm,2016-10-25,20161026213300,http://basketball.realgm.com/nba/depth-charts,200,33042
2016,espn,2016-10-25,20160904083228,http://www.espn.com:80/nba/depth,200,20519
2016,espn,2016-10-25,20160922212326,http://www.espn.com:80/nba/depth,200,20528
2016,espn,2016-10-25,20161011225824,http://www.espn.com:80/nba/depth,200,20554
2016,espn,2016-10-25,20161013080909,http://www.espn.com:80/nba/depth,200,20569
2016,espn,2016-10-25,20161024234931,http://www.espn.com:80/nba/depth,200,20258
2017,realgm,2017-10-17,20170828201737,https://basketball.realgm.com/nba/depth-charts,200,27748
2017,realgm,2017-10-17,20170904210153,https://basketball.realgm.com/nba/depth-charts,200,27756
2017,realgm,2017-10-17,20170907174851,https://basketball.realgm.com/nba/depth-charts,200,27882
2017,realgm,2017-10-17,20170911213859,https://basketball.realgm.com/nba/depth-charts,200,28039
2017,realgm,2017-10-17,20170918222108,https://basketball.realgm.com/nba/depth-charts,200,28375
2017,realgm,2017-10-17,20171003232536,https://basketball.realgm.com/nba/depth-charts,200,29376
2017,realgm,2017-10-17,20171010235355,https://basketball.realgm.com/nba/depth-charts,200,30012
2017,realgm,2017-10-17,20171018002003,https://basketball.realgm.com/nba/depth-charts,200,32603
2017,espn,2017-10-17,20170829042100,http://www.espn.com:80/nba/depth,200,20419
2017,espn,2017-10-17,20170904182351,http://www.espn.com:80/nba/depth?,200,20453
2017,espn,2017-10-17,20170912094729,http://www.espn.com:80/nba/depth,200,20366
2017,espn,2017-10-17,20170924181543,http://www.espn.com:80/nba/depth,200,20417
2017,espn,2017-10-17,20171007110941,http://www.espn.com:80/nba/depth,200,20411
2017,espn,2017-10-17,20171014221212,http://www.espn.com/nba/depth,200,20728
2017,espn,2017-10-17,20171016164848,http://www.espn.com:80/nba/depth,200,20465
2018,realgm,2018-10-16,20180822132621,https://basketball.realgm.com/nba/depth-charts,200,29503
2018,realgm,2018-10-16,20180829115026,https://basketball.realgm.com/nba/depth-charts,200,29639
2018,realgm,2018-10-16,20180905130320,https://basketball.realgm.com/nba/depth-charts,200,29778
2018,realgm,2018-10-16,20180906044136,https://basketball.realgm.com/nba/depth-charts,200,30015
2018,realgm,2018-10-16,20180912100441,https://basketball.realgm.com/nba/depth-charts,200,30373
2018,realgm,2018-10-16,20180913050758,https://basketball.realgm.com/nba/depth-charts,200,30377
2018,realgm,2018-10-16,20180919073457,https://basketball.realgm.com/nba/depth-charts,200,30607
2018,realgm,2018-10-16,20180927060451,https://basketball.realgm.com/nba/depth-charts,200,31066
2018,realgm,2018-10-16,20181004091440,https://basketball.realgm.com/nba/depth-charts,200,31493
2018,realgm,2018-10-16,20181010082549,https://basketball.realgm.com/nba/depth-charts,200,32023
2018,realgm,2018-10-16,20181017085826,https://basketball.realgm.com/nba/depth-charts,200,33536
2018,espn,2018-10-16,20180919001113,http://www.espn.com:80/nba/depth,200,22033
2018,espn,2018-10-16,20181003193827,http://www.espn.com/nba/depth,200,22240
2018,espn,2018-10-16,20181004164809,http://www.espn.com/nba/depth,200,22244
2018,espn,2018-10-16,20181007132449,http://www.espn.com/nba/depth,200,22419
2018,espn,2018-10-16,20181009202451,http://www.espn.com/nba/depth,200,22257
2018,espn,2018-10-16,20181010195430,http://www.espn.com/nba/depth,200,22255
2018,espn,2018-10-16,20181012183459,http://www.espn.com/nba/depth,200,22268
2019,realgm,2019-10-22,20190826040948,https://basketball.realgm.com/nba/depth-charts,200,30472
2019,realgm,2019-10-22,20190902044238,https://basketball.realgm.com/nba/depth-charts,200,30570
2019,realgm,2019-10-22,20190909052828,https://basketball.realgm.com/nba/depth-charts,200,30766
2019,realgm,2019-10-22,20190911235915,https://basketball.realgm.com/nba/depth-charts,200,30411
2019,realgm,2019-10-22,20190916060936,https://basketball.realgm.com/nba/depth-charts,200,30983
2019,realgm,2019-10-22,20190923070504,https://basketball.realgm.com/nba/depth-charts,200,31352
2019,realgm,2019-10-22,20190930072320,https://basketball.realgm.com/nba/depth-charts,200,31900
2019,realgm,2019-10-22,20191007081802,https://basketball.realgm.com/nba/depth-charts,200,23489
2019,realgm,2019-10-22,20191014090103,https://basketball.realgm.com/nba/depth-charts,200,32435
2019,espn,2019-10-22,20191010072340,http://www.espn.com/nba/depth,200,26771
2019,espn,2019-10-22,20191015040741,http://www.espn.com:80/nba/depth,200,26487
2019,espn,2019-10-22,20191025085915,http://www.espn.com:80/nba/depth,200,26500
2020,realgm,2020-12-22,20201023031339,https://basketball.realgm.com/nba/depth-charts,200,36758
2020,realgm,2020-12-22,20201027224814,https://basketball.realgm.com/nba/depth-charts,200,36732
2020,realgm,2020-12-22,20201101135248,https://basketball.realgm.com/nba/depth-charts,200,36581
2020,realgm,2020-12-22,20201103235455,https://basketball.realgm.com/nba/depth-charts,200,36749
2020,realgm,2020-12-22,20201106111040,https://basketball.realgm.com/nba/depth-charts,200,36784
2020,realgm,2020-12-22,20201118045955,https://basketball.realgm.com/nba/depth-charts,200,36565
2020,realgm,2020-12-22,20201118064946,https://basketball.realgm.com/nba/depth-charts,200,36546
2020,realgm,2020-12-22,20201215230424,https://basketball.realgm.com/nba/depth-charts,200,33470
2020,realgm,2020-12-22,20201218160223,https://basketball.realgm.com/nba/depth-charts,200,33670
2020,espn,2020-12-22,20201030053226,http://www.espn.com/nba/depth,200,26956
2020,espn,2020-12-22,20201112021450,http://www.espn.com/nba/depth,200,24950
2020,espn,2020-12-22,20201213013134,http://www.espn.com/nba/depth,200,26735
2020,espn,2020-12-22,20201216232018,http://www.espn.com/nba/depth,200,26960
2020,espn,2020-12-22,20201217211859,http://www.espn.com/nba/depth,200,26973
2020,espn,2020-12-22,20201220231408,http://www.espn.com/nba/depth,200,27069
2020,espn,2020-12-22,20201103002315,http://www.espn.com/nba/depth/_/type/null,200,27271
2021,realgm,2021-10-19,20210823213530,https://basketball.realgm.com/nba/depth-charts,200,30811
2021,realgm,2021-10-19,20210830224620,https://basketball.realgm.com/nba/depth-charts,200,31057
2021,realgm,2021-10-19,20210906233057,https://basketball.realgm.com/nba/depth-charts,200,31134
2021,realgm,2021-10-19,20210914002217,https://basketball.realgm.com/nba/depth-charts,200,31854
2021,realgm,2021-10-19,20210927011046,https://basketball.realgm.com/nba/depth-charts,200,32465
2021,realgm,2021-10-19,20211004021355,https://basketball.realgm.com/nba/depth-charts,200,33160
2021,realgm,2021-10-19,20211011033050,https://basketball.realgm.com/nba/depth-charts,200,33496
2021,realgm,2021-10-19,20211018041908,https://basketball.realgm.com/nba/depth-charts,200,30749
2021,espn,2021-10-19,20210926193008,http://www.espn.com/nba/depth,200,27487
2021,espn,2021-10-19,20211005144117,http://www.espn.com/nba/depth,200,27242
2021,espn,2021-10-19,20211006193434,http://www.espn.com/nba/depth,200,27367
2021,espn,2021-10-19,20211008042338,http://www.espn.com/nba/depth,200,27239
2021,espn,2021-10-19,20211008212316,http://www.espn.com/nba/depth,200,27256
2021,espn,2021-10-19,20211012130235,http://www.espn.com/nba/depth,200,27239
2021,espn,2021-10-19,20211019095254,http://www.espn.com/nba/depth,200,27560
2021,espn,2021-10-19,20210918172820,http://www.espn.com/nba/depth/_/type/full,200,40500
2022,realgm,2022-10-18,20220820133524,https://basketball.realgm.com/nba/depth-charts,200,30834
2022,realgm,2022-10-18,20220822223056,https://basketball.realgm.com/nba/depth-charts,200,30902
2022,realgm,2022-10-18,20220829230347,https://basketball.realgm.com/nba/depth-charts,200,31066
2022,realgm,2022-10-18,20220831145903,https://basketball.realgm.com/nba/depth-charts,200,31455
2022,realgm,2022-10-18,20220905230932,https://basketball.realgm.com/nba/depth-charts,200,31221
2022,realgm,2022-10-18,20220912233004,https://basketball.realgm.com/nba/depth-charts,200,31405
2022,realgm,2022-10-18,20220920000330,https://basketball.realgm.com/nba/depth-charts,200,31714
2022,realgm,2022-10-18,20220922010724,https://basketball.realgm.com/nba/depth-charts,200,31964
2022,realgm,2022-10-18,20220927002555,https://basketball.realgm.com/nba/depth-charts,200,32666
2022,realgm,2022-10-18,20220928153105,https://basketball.realgm.com/nba/depth-charts,200,32692
2022,realgm,2022-10-18,20221005105250,https://basketball.realgm.com/nba/depth-charts,200,32716
2022,realgm,2022-10-18,20221007174315,https://basketball.realgm.com/nba/depth-charts,200,33352
2022,realgm,2022-10-18,20221014175358,https://basketball.realgm.com/nba/depth-charts,200,32930
2022,realgm,2022-10-18,20221021182800,https://basketball.realgm.com/nba/depth-charts,200,33496
2022,espn,2022-10-18,20220928011029,http://www.espn.com/nba/depth,200,28354
2023,realgm,2023-10-24,20230930133509,https://basketball.realgm.com/nba/depth-charts,200,32538
2023,espn,2023-10-24,20230829180917,https://www.espn.com/nba/depth,200,28196
2023,espn,2023-10-24,20230912004304,https://www.espn.com/nba/depth,200,28194
2023,espn,2023-10-24,20230913183728,https://www.espn.com/nba/depth,200,28323
2023,espn,2023-10-24,20230919003345,https://www.espn.com/nba/depth,200,28233
2023,espn,2023-10-24,20230926031427,https://www.espn.com/nba/depth,200,28222
2023,espn,2023-10-24,20230928173245,https://www.espn.com/nba/depth,200,28500
2023,espn,2023-10-24,20231004110812,https://www.espn.com/nba/depth,200,28161
2024,realgm,2024-10-22,20240826002542,https://basketball.realgm.com/nba/depth-charts,200,29394
2024,realgm,2024-10-22,20240827021805,https://basketball.realgm.com/nba/depth-charts,200,29135
2024,realgm,2024-10-22,20240903032417,https://basketball.realgm.com/nba/depth-charts,200,29278
2024,realgm,2024-10-22,20240904174350,https://basketball.realgm.com/nba/depth-charts,200,29212
2024,realgm,2024-10-22,20240905161726,https://basketball.realgm.com/nba/depth-charts,200,29260
2024,realgm,2024-10-22,20240910151651,https://basketball.realgm.com/nba/depth-charts,200,30261
2024,realgm,2024-10-22,20240912171443,https://basketball.realgm.com/nba/depth-charts,200,29888
2024,realgm,2024-10-22,20240919185420,https://basketball.realgm.com/nba/depth-charts,200,30087
2024,realgm,2024-10-22,20240923205609,https://basketball.realgm.com/nba/depth-charts,200,30430
2024,realgm,2024-10-22,20240925135716,https://basketball.realgm.com/nba/depth-charts,200,30500
2024,realgm,2024-10-22,20240926192116,https://basketball.realgm.com/nba/depth-charts,200,30419
2024,realgm,2024-10-22,20241003214313,https://basketball.realgm.com/nba/depth-charts,200,30733
2024,realgm,2024-10-22,20241006141304,https://basketball.realgm.com/nba/depth-charts,200,31473
2024,realgm,2024-10-22,20241007113717,https://basketball.realgm.com/nba/depth-charts,200,31429
2024,realgm,2024-10-22,20241007202344,https://basketball.realgm.com/nba/depth-charts,200,31522
2024,espn,2024-10-22,20241002202103,https://www.espn.com/nba/depth,200,30572
2024,espn,2024-10-22,20240909113341,https://www.espn.com/nba/depth/_/type/full,200,47154
2024,espn,2024-10-22,20241007084357,https://www.espn.com/nba/depth/_/type/full,200,48521
2025,realgm,2025-10-21,20250822202058,https://basketball.realgm.com/nba/depth-charts,200,25493
2025,realgm,2025-10-21,20250822202118,https://basketball.realgm.com/nba/depth-charts,200,25488
2025,realgm,2025-10-21,20250826164610,https://basketball.realgm.com/nba/depth-charts,200,25516
2025,realgm,2025-10-21,20250829213815,https://basketball.realgm.com/nba/depth-charts,200,25548
2025,realgm,2025-10-21,20250910114346,https://basketball.realgm.com/nba/depth-charts,200,26041
2025,realgm,2025-10-21,20250912085142,https://basketball.realgm.com/nba/depth-charts,200,26158
2025,realgm,2025-10-21,20250914055217,https://basketball.realgm.com/nba/depth-charts,200,26183
2025,realgm,2025-10-21,20250915164058,https://basketball.realgm.com/nba/depth-charts,200,26597
2025,realgm,2025-10-21,20250920061305,https://basketball.realgm.com/nba/depth-charts,200,26910
