prefix,season,n,urls,last
hashtagbasketball.com/fantasy-basketball-projections,2015,0,,
hashtagbasketball.com/fantasy-basketball-projections,2016,3,http://www.hashtagbasketball.com:80/fantasy-basketball-projections http://www.hashtagbasketball.com:80/fantasy-basketball-projections-calculator,20160923201505
hashtagbasketball.com/fantasy-basketball-projections,2017,1,https://hashtagbasketball.com/fantasy-basketball-projections,20171003210327
hashtagbasketball.com/fantasy-basketball-projections,2018,0,,
hashtagbasketball.com/fantasy-basketball-projections,2019,1,https://hashtagbasketball.com/fantasy-basketball-projections,20191018020957
hashtagbasketball.com/fantasy-basketball-projections,2020,1,https://hashtagbasketball.com/fantasy-basketball-projections,20200925002434
hashtagbasketball.com/fantasy-basketball-projections,2021,2,https://hashtagbasketball.com/fantasy-basketball-projections,20211019155843
hashtagbasketball.com/fantasy-basketball-projections,2022,2,https://hashtagbasketball.com/fantasy-basketball-projections https://hashtagbasketball.com/fantasy-basketball-projections/custom/8d5f3196b6eda36/,20220929003014
hashtagbasketball.com/fantasy-basketball-projections,2023,1,https://hashtagbasketball.com/fantasy-basketball-projections,20231005030405
hashtagbasketball.com/fantasy-basketball-projections,2024,0,,
hashtagbasketball.com/fantasy-basketball-projections,2025,1,https://hashtagbasketball.com/fantasy-basketball-projections,20251009174024
www.fantasypros.com/nba/projections/,2015,28,http://www.fantasypros.com/nba/projections/avg-overall.php http://www.fantasypros.com/nba/projections/avg-ros-overall.php http://www.fantasypros.com/nba/projections/avg-ros-overall.php?export=xls http://www.fantasypros.com/nba/projections/avg-weekly-g.php http://www.fantasypros.com/nba/projections/overall.php,20151023044945
www.fantasypros.com/nba/projections/,2016,0,,
www.fantasypros.com/nba/projections/,2017,0,,
www.fantasypros.com/nba/projections/,2018,13,https://www.fantasypros.com/nba/projections/overall.php https://www.fantasypros.com/nba/projections/overall.php?partner=tr_nba_nav_projections,20181022165835
www.fantasypros.com/nba/projections/,2019,130,https://www.fantasypros.com/nba/projections/alex-len.php https://www.fantasypros.com/nba/projections/anthony-davis.php https://www.fantasypros.com/nba/projections/archi-goodwin.php https://www.fantasypros.com/nba/projections/aron-baynes.php https://www.fantasypros.com/nba/projections/avg-daily-c.php,20191014021819
www.fantasypros.com/nba/projections/,2020,75,https://www.fantasypros.com/nba/projections/al-farouq-aminu.php https://www.fantasypros.com/nba/projections/andre-roberson.php https://www.fantasypros.com/nba/projections/andrea-bargnani.php https://www.fantasypros.com/nba/projections/avery-bradley.php https://www.fantasypros.com/nba/projections/avg-overall.php,20200928153438
www.fantasypros.com/nba/projections/,2021,115,https://www.fantasypros.com/nba/projections/aaron-gordon.php https://www.fantasypros.com/nba/projections/aaron-nesmith.php https://www.fantasypros.com/nba/projections/alex-caruso.php https://www.fantasypros.com/nba/projections/allonzo-trier.php https://www.fantasypros.com/nba/projections/anthony-davis.php,20211023232318
www.fantasypros.com/nba/projections/,2022,45,https://www.fantasypros.com/nba/projections/andre-iguodala.php https://www.fantasypros.com/nba/projections/andrew-wiggins.php https://www.fantasypros.com/nba/projections/bennedict-mathurin.php https://www.fantasypros.com/nba/projections/brandon-jennings.php https://www.fantasypros.com/nba/projections/caleb-houston.php,20220929014443
www.fantasypros.com/nba/projections/,2023,21,https://www.fantasypros.com/nba/projections/bismack-biyombo.php https://www.fantasypros.com/nba/projections/brook-lopez.php https://www.fantasypros.com/nba/projections/coby-white.php https://www.fantasypros.com/nba/projections/cole-anthony.php https://www.fantasypros.com/nba/projections/derrick-favors.php,20230930000021
www.fantasypros.com/nba/projections/,2024,0,,
www.fantasypros.com/nba/projections/,2025,0,,
basketballmonster.com/projections.aspx,2015,0,,
basketballmonster.com/projections.aspx,2016,0,,
basketballmonster.com/projections.aspx,2017,0,,
basketballmonster.com/projections.aspx,2018,0,,
basketballmonster.com/projections.aspx,2019,0,,
basketballmonster.com/projections.aspx,2020,0,,
basketballmonster.com/projections.aspx,2021,0,,
basketballmonster.com/projections.aspx,2022,0,,
basketballmonster.com/projections.aspx,2023,0,,
basketballmonster.com/projections.aspx,2024,0,,
basketballmonster.com/projections.aspx,2025,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2015,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2016,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2017,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2018,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2019,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2020,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2021,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2022,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2023,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2024,0,,
www.numberfire.com/nba/fantasy/remaining-projections,2025,0,,
www.rotowire.com/basketball/projections.php,2015,0,,
www.rotowire.com/basketball/projections.php,2016,0,,
www.rotowire.com/basketball/projections.php,2017,0,,
www.rotowire.com/basketball/projections.php,2018,0,,
www.rotowire.com/basketball/projections.php,2019,0,,
www.rotowire.com/basketball/projections.php,2020,0,,
www.rotowire.com/basketball/projections.php,2021,0,,
www.rotowire.com/basketball/projections.php,2022,0,,
www.rotowire.com/basketball/projections.php,2023,0,,
www.rotowire.com/basketball/projections.php,2024,0,,
www.rotowire.com/basketball/projections.php,2025,0,,
www.espn.com/fantasy/basketball/story/_/id,2015,0,,
www.espn.com/fantasy/basketball/story/_/id,2016,538,http://www.espn.com/fantasy/basketball/story/_/id/13616635/Added/Dropped http://www.espn.com/fantasy/basketball/story/_/id/13616635/Final/11 http://www.espn.com/fantasy/basketball/story/_/id/13616635/fantasy-basketball-how-build-winning-lineup-daily-fantasy-basketball http://www.espn.com/fantasy/basketball/story/_/id/13616635/window.load http://www.espn.com/fantasy/basketball/story/_/id/13977509/Added/Dropped,20161023161642
www.espn.com/fantasy/basketball/story/_/id,2017,1266,http://www.espn.com/fantasy/basketball/story/_/id/17934266/debating-beal-frazier-westbrook-fantasy-basketball http://www.espn.com/fantasy/basketball/story/_/id/18906026 http://www.espn.com/fantasy/basketball/story/_/id/19017382/rudy-gobert-shot-blocking-chris-paul-fall http://www.espn.com/fantasy/basketball/story/_/id/19094073/perfect-2016-17-fantasy-basketball-draft http://www.espn.com/fantasy/basketball/story/_/id/19126704,20171025201502
www.espn.com/fantasy/basketball/story/_/id,2018,590,http://www.espn.com/fantasy/basketball/story/_/id/14281577/what-kobe-bryant-retirement-means-lakers-young-core http://www.espn.com/fantasy/basketball/story/_/id/14421871/why-golden-state-warriors-klay-thompson-not-fantasy-top-sg http://www.espn.com/fantasy/basketball/story/_/id/19698630/pick-pick-fantasy-basketball-reaction http://www.espn.com/fantasy/basketball/story/_/id/20495656/2017-18-fantasy-basketball-rankings-points-scoring http://www.espn.com/fantasy/basketball/story/_/id/20696253/building-winning-roster,20181025133121
www.espn.com/fantasy/basketball/story/_/id,2019,760,https://www.espn.com/fantasy/basketball/story/_/id/13816921/top-200-player-rankings-2015-16-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/17654806/top-200-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/17985808/fantasy-basketball-top-waiver-wire-pickups-november-6 https://www.espn.com/fantasy/basketball/story/_/id/17991067/debating-embiid-ibaka-jokic-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/20712582/analytics-glossary,20191025174851
www.espn.com/fantasy/basketball/story/_/id,2020,14,https://www.espn.com/fantasy/basketball/story/_/id/14769931/win-butler-jason-sudeikis-all-star-celebrity-game-players-most-fantasy-potential-nba https://www.espn.com/fantasy/basketball/story/_/id/23866508/fantasy-basketball-nba-draft-top-fantasy-rookies-2018-19 https://www.espn.com/fantasy/basketball/story/_/id/24131935/fantasy-basketball-does-value-rise-fall-kawhi-leonard-demar-derozan https://www.espn.com/fantasy/basketball/story/_/id/25706670/fantasy-basketball-updated-fantasy-hoops-points-ranks-lauri-markkanen-takes-big-leap https://www.espn.com/fantasy/basketball/story/_/id/26306815/fantasy-basketball-fantasy-nba-daily-notes-luka-doncic-elfrid-payton-dueling-triple-doubles,20201017220303
www.espn.com/fantasy/basketball/story/_/id,2021,399,https://www.espn.com/fantasy/basketball/story/_/id/13215631/how-value-rookies-players-switched-teams-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/14749282/who-add-your-fantasy-basketball-team-following-jimmy-butler-injury-nba https://www.espn.com/fantasy/basketball/story/_/id/14988118/late-lineup-notes-march-16-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/17991984/nba-daily-fantasy-picks-fades-pelicans-ride-fade-nba-dfs-monday https://www.espn.com/fantasy/basketball/story/_/id/18104395/brook-lopez-klay-thompson-nik-stauskas,20211005004054
www.espn.com/fantasy/basketball/story/_/id,2022,1236,https://www.espn.com/fantasy/basketball/story/_/id/10522839/statistical-variance-fantasy-hoops-categories-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/13983166/ten-bold-predictions-fantasy-hoops-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/14769931/win-butler-jason-sudeikis-all-star-celebrity-game-players-most-fantasy-potential-nba https://www.espn.com/fantasy/basketball/story/_/id/16796553/nba-free-agency-biggest-fantasy-winners-losers-far-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/20674472/fantasy-basketball-roto-strategy-managing-games-played,20221014010025
www.espn.com/fantasy/basketball/story/_/id,2023,1004,https://www.espn.com/fantasy/basketball/story/_/id/20631092/fantasy-basketball-points-league-strategy https://www.espn.com/fantasy/basketball/story/_/id/20712582/API/ https://www.espn.com/fantasy/basketball/story/_/id/20712582/API/noticeError/called https://www.espn.com/fantasy/basketball/story/_/id/20712582/F/10 https://www.espn.com/fantasy/basketball/story/_/id/20712582/Final/10,20231025235537
www.espn.com/fantasy/basketball/story/_/id,2024,358,https://www.espn.com/fantasy/basketball/story/_/id/20712582/analytics-glossary https://www.espn.com/fantasy/basketball/story/_/id/20712582/fantasy-basketball-analytics-glossary https://www.espn.com/fantasy/basketball/story/_/id/20783155/API/ https://www.espn.com/fantasy/basketball/story/_/id/20783155/API/noticeError/called https://www.espn.com/fantasy/basketball/story/_/id/20783155/ESPN.com,20241009205720
www.espn.com/fantasy/basketball/story/_/id,2025,289,https://www.espn.com/fantasy/basketball/story/_/id/11243237/chris-bosh-nerlens-noel-offseason-winners-fantasy-basketball https://www.espn.com/fantasy/basketball/story/_/id/18123448/fantasy-thankful-fantasy-hoops https://www.espn.com/fantasy/basketball/story/_/id/18123448/fantasy-thankful-fantasy-hoops?utm_source=dlvr.it&utm_medium=twitter https://www.espn.com/fantasy/basketball/story/_/id/18388972/fantasy-basketball-top-waiver-wire-pickups-week-january-1 https://www.espn.com/fantasy/basketball/story/_/id/18413464/fantasy-hoops-zach-lavine-vs-bradley-beal,20251024191401
www.cbssports.com/fantasy/basketball/stats/,2015,0,,
www.cbssports.com/fantasy/basketball/stats/,2016,23,http://www.cbssports.com/fantasy/basketball/stats/sortable/points/C/standard/projections http://www.cbssports.com:80/fantasy/basketball/stats/sortable/points/C/advanced/projections http://www.cbssports.com:80/fantasy/basketball/stats/sortable/points/C/advanced/projections?&print_rows=9999 http://www.cbssports.com:80/fantasy/basketball/stats/sortable/points/C/advanced/projections?&start_row=1 http://www.cbssports.com:80/fantasy/basketball/stats/sortable/points/C/advanced/projections?&start_row=51,20160922143908
www.cbssports.com/fantasy/basketball/stats/,2017,0,,
www.cbssports.com/fantasy/basketball/stats/,2018,14,https://www.cbssports.com/fantasy/basketball/stats/sortable/points/C/standard/projections/2017/ytd https://www.cbssports.com/fantasy/basketball/stats/sortable/points/C/standard/ytd,20180930223619
