team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
ATL,0.6704790559731206,-0.6385882342654013,36.5,36.5,42.71277611922179,39.368621507443166
BKN,-3.241192645278586,-6.734302329949384,19.5,19.5,32.80408450828604,24.551073100567198
BOS,6.781573402734372,6.360916872812268,58.5,58.5,57.5540214824164,56.6117058315427
CHA,-6.854041685358585,-4.709481631714545,30.5,30.5,24.28526389848959,29.229996061238282
CHI,-4.090328956693236,-4.699805648726896,28.5,28.5,30.721472753375163,29.25310999783099
CLE,3.3112771966779984,3.0050781408553013,48.5,48.5,49.36925983965755,48.61017765230862
DAL,4.8612062181500315,3.460168789996704,49.5,49.5,53.13159491556129,49.73670207102469
DEN,2.85524297863214,3.4074507992202623,51.5,51.5,48.23714573053807,49.606731475395144
DET,-4.925132753973737,-5.496027323929319,25.5,25.5,28.716538768069462,27.37360043172451
GSW,3.280979562463758,1.3268987847053555,43.5,43.5,49.29435269702618,44.385123086810424
HOU,2.079155921036346,1.7415758976658329,43.5,43.5,46.290473791442984,45.4372921985573
IND,0.5880861208184667,1.7290969475527813,46.5,46.5,42.5024572024432,45.40569120071072
LAC,0.08485785698874254,-2.1685389880342774,35.5,35.5,41.21687167171629,35.48421126448568
LAL,-0.05257169399625132,0.2556470327067675,43.5,43.5,40.86564163852765,41.653319817959904
MEM,2.4432008052817036,2.805097853378126,47.5,47.5,47.20643740733767,48.11208342286806
MIA,-0.27788243377343147,0.27925644485513407,44.5,44.5,40.28986498148396,41.71364578007551
MIL,0.2840137953336353,1.44212931717298,49.5,49.5,41.72580131199427,44.67790180827115
MIN,0.09812855111972764,2.373230317129072,51.5,51.5,41.250787035047296,47.030749490487935
NOP,0.4283931288099071,1.4256430867890153,46.5,46.5,42.09465023315066,44.63603110063509
NYK,1.9901492743075604,3.6710469959018592,53.5,53.5,46.06585360232854,50.25513317862299
OKC,5.607010935685081,6.8397547367822105,57.5,57.5,54.88458093548616,57.68308998350362
ORL,1.2647765884246516,2.3278897461461323,47.5,47.5,44.22716757422602,46.916809044285856
PHI,1.4842788877889836,2.0817495928401644,50.5,50.5,44.784922894661236,46.29701551861752
PHX,1.3408413169438163,1.5705919395346568,48.5,48.5,44.420563394930674,45.00394979792136
POR,-5.272885115877929,-6.547315510125774,21.5,21.5,27.895594751206104,24.968781512597076
SAC,4.461769736492367,2.570570234292913,46.5,46.5,52.17627905762861,47.525773660778334
SAS,-1.619897409965895,-1.5792930418178015,35.5,35.5,36.871013933831605,36.973980283586194
TOR,-4.144745467189688,-4.235235157596265,29.5,29.5,30.589411925757858,30.37021009822311
UTA,-4.067218831354613,-4.320374043793578,28.5,28.5,30.777612048546466,30.164437472740193
WAS,-9.369524340200456,-8.407349898005199,20.5,20.5,19.031059198881458,20.963052149187185
