team,model_margin_pre,blend_margin_pre,line,mkt_mean,model_w_pre,blend_w_pre
OKC,10.182970078292906,9.827048955169783,62.5,62.30987480719604,64.52183060882162,63.85164779126457
SAS,5.795605490841228,7.015614732551452,59.5,59.69012519280396,55.321055744786804,58.07130359426427
BOS,5.755000272775426,4.317806262363985,51.5,51.69012519280396,55.22732342250603,51.829363151064406
CLE,4.821596258316124,3.0713356714264166,47.5,47.69012519280396,53.03735110620006,48.77480982886556
HOU,3.966638711822116,2.6739016779258153,47.5,47.5,50.97768487485966,47.78437571390224
TOR,3.690475547808908,2.6127193050306072,45.5,46.070318581424836,50.30277609508239,47.63130946184731
DET,2.956817205325299,3.043425277998777,49.5,49.30987480719604,48.49013593115945,48.70548466439747
ORL,2.8809271999161434,1.8228937574836206,43.5,44.251435854887944,48.301160174056285,45.64311303822345
MIN,2.880268949958822,2.8688157719105307,48.5,48.5,48.2995199350226,48.270977666177615
LAL,2.161784817699563,2.11400005733134,46.5,46.30987480719604,46.498772136873356,46.378339155034816
POR,1.866813010614808,0.8517172025232264,42.5,42.118367596063294,45.75419865715571,43.17514883946439
GSW,1.502875958303559,-0.3905480590721099,40.5,39.962337169614145,44.832129401741625,40.00202180658229
CHA,1.2010313336621157,-0.2655278971794451,37.5,37.7759582228206,44.065006450088305,40.3214326529947
NYK,0.8526544310972084,2.192444145666831,52.5,52.118367596063294,43.17753883430972,46.57600364111547
PHX,0.2362293372207401,-0.7207369837918768,38.5,38.7759582228206,41.60370271218915,39.15896810105887
DEN,0.2156966164598578,1.4529463963058247,49.5,48.929681418575164,41.55123492710636,44.705371059745254
ATL,-0.0082536563749585,0.43079934089187377,43.5,43.30987480719604,40.97890593391008,42.10079638451566
PHI,-0.9442875595942816,1.6263636369655303,50.5,50.118367596063294,38.58884889983808,45.145379621684064
MIA,-1.4136799379013096,-0.12445683756189255,46.5,45.929681418575164,37.39435592943207,40.68192768708269
CHI,-2.194455545900159,-3.586594921182514,27.5,28.322525609780417,35.41893070124048,31.952200920233068
DAL,-2.9360696542809355,-2.375774849624464,34.5,34.5,33.56150268323598,34.96285832631989
NOP,-3.40551310308467,-4.314511279172634,27.5,27.69012519280396,32.3980484373346,30.178592517644788
IND,-3.6928080726299743,-0.7767019454531832,44.5,45.070318581424836,31.691505460506146,39.01618170171543
MEM,-3.766640030577232,-3.8931513598055307,28.5,28.881632403936706,31.510654471380615,31.201481713217255
MIL,-4.118030611682638,-5.292781683485617,25.5,25.69012519280396,30.654222362713092,27.848896195636787
UTA,-4.503224301007617,-2.1802184588326248,35.5,36.65633097599781,29.72407584376845,35.45478935251067
BKN,-5.276285864032968,-5.717565737277627,24.5,24.118367596063294,27.88761084915899,26.85920829557154
LAC,-5.7057863464487175,-5.155699351073618,30.5,30.118367596063294,26.88646034542107,28.171241258410035
SAC,-6.494815368181597,-7.549685094661808,21.5,21.30987480719604,25.08662731958948,22.76778806058195
WAS,-6.507535168417766,-3.2513333888492277,34.5,34.30987480719604,25.05805289799969,32.778987798873324
